mileage_per_year,model_year,price,car_age,sold
21801,2000,30941.02,24,yes
7843,1998,40557.96,26,yes
7109,2006,89627.5,18,no
26823,2015,95276.14,9,no
7935,2014,117384.68,10,yes
14661,2007,55405.26,17,yes
9990,2002,93415.61,22,yes
11599,2008,65265.09,16,no
7834,1999,43917.53,25,yes
14913,2003,107860.41,21,yes
14065,2016,75668.42,8,no
15095,2001,97411.7,23,no
16534,2009,91062.94,15,no
21998,2007,73156.01,17,no
7133,2005,82622.46,19,yes
12453,2002,64115.99,22,yes
9936,2006,48974.9,18,yes
22052,2011,28007.36,13,yes
14093,2015,94217.51,9,no
15922,2000,111136.8,24,yes
20400,2014,37384.17,10,yes
9354,2012,36271.82,12,yes
20370,1999,82597.52,25,no
7777,2002,81831.93,22,no
15562,2013,92271.67,11,no
14568,2002,55734.53,22,yes
12160,2004,67789.32,20,yes
12391,1999,71840.26,25,no
12874,2007,25413.75,17,yes
11018,2004,64497.7,20,no
16430,2007,76894.04,17,no
20295,2013,48359.62,11,yes
16790,2002,56539.06,22,no
12467,2006,81757.83,18,no
13998,2000,80965.58,24,no
26928,1998,82776.88,26,no
15991,2003,61589.78,21,no
15377,2006,66655.85,18,no
17362,2011,85107.04,13,no
7674,2007,113990.61,17,no
21256,2002,29338.23,22,yes
14363,2003,57463.74,21,no
12108,2008,41296.05,16,no
23908,2001,96446.05,23,no
11422,2001,53993.85,23,yes
14670,2008,64387.6,16,no
13070,2008,116393.77,16,no
8761,2015,75332.79,9,no
25971,2000,53268.18,24,no
11442,2000,102184.72,24,no
16932,2013,107433.92,11,no
15780,2006,93167.18,18,no
17456,2008,88662.57,16,no
15088,2006,25889.56,18,yes
19412,2008,70653.63,16,no
15439,2002,76666.68,22,no
16056,1999,106302.54,25,yes
24778,2006,43890.33,18,yes
12882,1998,62553.77,26,yes
21616,2008,46776.67,16,yes
15590,2000,34985.57,24,yes
17635,2013,80251.29,11,no
9047,1998,54196.09,26,yes
22674,2001,16736.17,23,yes
11113,2004,45467.13,20,yes
10041,2001,42956.65,23,yes
5584,2007,85338.55,17,yes
15164,1999,12017.79,25,yes
11609,2000,105524.5,24,yes
20954,1999,49745.4,25,yes
17009,1999,95592.87,25,no
11399,2010,86444.77,14,yes
10358,2000,33596.02,24,yes
23972,2012,75782.68,12,no
10932,2014,84454.22,10,no
13589,2006,81748.68,18,no
9188,2004,18576.43,20,yes
11223,2010,64773.76,14,no
21195,1998,31250.34,26,yes
18843,2006,46864.83,18,yes
16139,1999,18905.64,25,yes
6421,2005,90767.87,19,no
12056,2004,92508.98,20,no
17380,1999,90378.63,25,no
9945,2006,42569.3,18,yes
16835,2008,62620.45,16,no
4312,1998,60101.5,26,yes
13129,2004,48978.94,20,yes
28915,2013,69271.08,11,no
